business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
Kapsch TrafficCom AG,Machine Learning Engineer,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 semanas,Más de 100 solicitudes,Híbrido,['Python'],['Python'],[],1.0,1.0,0.0
"WhereTo, a Flight Centre company","Data Engineer - WhereTo, Spain","Barcelona, Cataluña, España",hace 1 semana,57 solicitudes,En remoto,"['Analítica de datos', 'Ciencia de datos', 'Minería de datos', 'Reconocimiento de patrones', 'Resolución de problemas', 'Visualización de datos', 'Analítica\nAñadir', 'Análisis estadístico\nAñadir', 'Manipulación de datos\nAñadir', 'Recogida de datos\nAñadir']","['Analítica de datos', 'Ciencia de datos', 'Minería de datos', 'Reconocimiento de patrones', 'Resolución de problemas', 'Visualización de datos']","['Analítica\nAñadir', 'Análisis estadístico\nAñadir', 'Manipulación de datos\nAñadir', 'Recogida de datos\nAñadir']",10.0,6.0,4.0
Cint,Principal Data Scientist - Media Measurement,"Barcelona, Cataluña, España",hace 1 semana,72 solicitudes,En remoto,"['Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Habilidades sociales', 'Analítica\nAñadir', 'Análisis de marketing\nAñadir', 'Aptitudes para hacer presentaciones\nAñadir', 'Media Evaluation\nAñadir', 'Medición\nAñadir', 'Presentaciones\nAñadir']","['Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Habilidades sociales']","['Analítica\nAñadir', 'Análisis de marketing\nAñadir', 'Aptitudes para hacer presentaciones\nAñadir', 'Media Evaluation\nAñadir', 'Medición\nAñadir', 'Presentaciones\nAñadir']",10.0,4.0,6.0
SII Group Spain,Machine Learning Engineer,Barcelona y alrededores,hace 1 semana,Más de 100 solicitudes,Híbrido,"['Python', 'Amazon Web Services (AWS)\nAñadir', 'Large Language Models (LLM)\nAñadir']",['Python'],"['Amazon Web Services (AWS)\nAñadir', 'Large Language Models (LLM)\nAñadir']",3.0,1.0,2.0
Applus+ IDIADA,Data Engineer,"Tarragona, Cataluña, España",hace 1 semana,Más de 100 solicitudes,En remoto,"['Ciencias de la computación', 'Ingeniería de datos', 'Python', 'Resolución de problemas', 'Atención al detalle\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Integridad de la información\nAñadir', 'Modelado de datos\nAñadir']","['Ciencias de la computación', 'Ingeniería de datos', 'Python', 'Resolución de problemas']","['Atención al detalle\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Integridad de la información\nAñadir', 'Modelado de datos\nAñadir']",10.0,4.0,6.0
Vonage,Data Analyst,"Barcelona, Cataluña, España",hace 2 semanas,33 solicitudes,Jornada completa,"['Analítica de datos', 'Análisis de datos', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Visualización de datos', 'Analítica\nAñadir', 'Datasets\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Visualización\nAñadir']","['Analítica de datos', 'Análisis de datos', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Visualización de datos']","['Analítica\nAñadir', 'Datasets\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Visualización\nAñadir']",10.0,6.0,4.0
agap2 España,Especialista en IA Generativa,"Barcelona, Cataluña, España",hace 1 semana,40 solicitudes,Híbrido,"['Ciencia de datos', 'Ingeniería de datos', 'Microsoft Power BI', 'Python', 'Visualización de datos', 'Capacidad analítica\nAñadir', 'Despliegue de sistemas\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Implantación de software\nAñadir', 'Implementación de soluciones\nAñadir']","['Ciencia de datos', 'Ingeniería de datos', 'Microsoft Power BI', 'Python', 'Visualización de datos']","['Capacidad analítica\nAñadir', 'Despliegue de sistemas\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Implantación de software\nAñadir', 'Implementación de soluciones\nAñadir']",10.0,5.0,5.0
Eurofirms Group | People first,Data Analyst,"Cassà de la Selva, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Híbrido,"['Microsoft Excel', 'SQL', 'Tableau\nAñadir']","['Microsoft Excel', 'SQL']",['Tableau\nAñadir'],3.0,2.0,1.0
Vicomtech,Analista de datos financieros,"Donostia-San Sebastián, País Vasco / Euskadi, España",Publicado de nuevo hace 1 semana,65 solicitudes,Jornada completa,"['Analítica de datos', 'Ingeniería informática', 'Inglés', 'Sistema de gestión de bases de datos (SGBD)', 'Visualización de datos', 'Analítica\nAñadir', 'Bases de datos\nAñadir', 'Datos financieros\nAñadir', 'Finanzas\nAñadir', 'Herramientas de planificación\nAñadir']","['Analítica de datos', 'Ingeniería informática', 'Inglés', 'Sistema de gestión de bases de datos (SGBD)', 'Visualización de datos']","['Analítica\nAñadir', 'Bases de datos\nAñadir', 'Datos financieros\nAñadir', 'Finanzas\nAñadir', 'Herramientas de planificación\nAñadir']",10.0,5.0,5.0
Audax Renovables,Data Engineer,"Badalona, Cataluña, España",hace 4 días,43 solicitudes,Híbrido,"['Oracle Data Integrator', 'SQL', 'Sistema de gestión de bases de datos (SGBD)', 'Analítica\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']","['Oracle Data Integrator', 'SQL', 'Sistema de gestión de bases de datos (SGBD)']","['Analítica\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']",5.0,3.0,2.0
Tenth Revolution Group,Modelador de datos,España,hace 2 semanas,84 solicitudes,En remoto,['Snowflake\nAñadir'],[],['Snowflake\nAñadir'],1.0,0.0,1.0
VASS,Machine Learning Engineer,"Madrid, Comunidad de Madrid, España",hace 1 día,48 solicitudes,Híbrido,"['Ingeniería de datos', 'Azure Databricks\nAñadir', 'Microsoft Azure Machine Learning\nAñadir']",['Ingeniería de datos'],"['Azure Databricks\nAñadir', 'Microsoft Azure Machine Learning\nAñadir']",3.0,1.0,2.0
Axpe Consulting,Machine Learning Operations,"Madrid, Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,En remoto,"['Git', 'Python', 'Amazon Web Services (AWS)\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Modelo de datos\nAñadir']","['Git', 'Python']","['Amazon Web Services (AWS)\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Modelo de datos\nAñadir']",7.0,2.0,5.0
Lumenalta,Python Developer - Tech Lead,España,hace 4 días,6 solicitudes,En remoto,"['Django', 'Ingeniería', 'Inglés', 'Microsoft Office', 'Programación de aplicaciones', 'Python', 'Resolución de problemas', 'Django REST framework\nAñadir', 'Grit\nAñadir', 'Solver\nAñadir']","['Django', 'Ingeniería', 'Inglés', 'Microsoft Office', 'Programación de aplicaciones', 'Python', 'Resolución de problemas']","['Django REST framework\nAñadir', 'Grit\nAñadir', 'Solver\nAñadir']",10.0,7.0,3.0
SDG Group España,Qlik Consultant,España,Publicado de nuevo hace 1 mes,Más de 100 solicitudes,En remoto,"['Inglés', 'SQL', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Modelado de datos\nAñadir', 'Qlik Sense\nAñadir', 'QlikView\nAñadir']","['Inglés', 'SQL']","['Extraer, transformar y cargar (ETL)\nAñadir', 'Modelado de datos\nAñadir', 'Qlik Sense\nAñadir', 'QlikView\nAñadir']",6.0,2.0,4.0
WeHunt España,AI Developer,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",hace 1 semana,Más de 100 solicitudes,Híbrido,"['Análisis de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Inglés', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'SQL', 'Visión por computador', 'Datasets\nAñadir', 'Pruebas de regresión\nAñadir']","['Análisis de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Inglés', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'SQL', 'Visión por computador']","['Datasets\nAñadir', 'Pruebas de regresión\nAñadir']",10.0,8.0,2.0
AstraZeneca,Principal AI Engineer,"Barcelona, Cataluña, España",hace 22 horas,7 solicitudes,Jornada completa,"['Aprendizaje automático', 'Ciencias de la computación', 'Comunicación', 'Inteligencia artificial', 'Reconocimiento de patrones', 'Visión por computador', 'IA generativa\nAñadir', 'Modelo transformador\nAñadir', 'Optimización\nAñadir', 'Retoques fotográficos\nAñadir']","['Aprendizaje automático', 'Ciencias de la computación', 'Comunicación', 'Inteligencia artificial', 'Reconocimiento de patrones', 'Visión por computador']","['IA generativa\nAñadir', 'Modelo transformador\nAñadir', 'Optimización\nAñadir', 'Retoques fotográficos\nAñadir']",10.0,6.0,4.0
QUANT AI Lab,ML Engineer,"Málaga, Andalucía, España",hace 1 semana,97 solicitudes,Híbrido,"['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'PyTorch', 'Scikit-learn', 'TensorFlow', 'Visión por computador', 'Retoques fotográficos\nAñadir']","['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'PyTorch', 'Scikit-learn', 'TensorFlow', 'Visión por computador']",['Retoques fotográficos\nAñadir'],10.0,9.0,1.0
Profile Software Services,Ingeniero/a de Datos (entorno Azure) 100% remoto,España,Publicado de nuevo hace 4 días,Más de 100 solicitudes,En remoto,"['Ingeniería de datos', 'Python', 'Lean Startup\nAñadir', 'Microsoft Azure\nAñadir', 'Modelo-vista-presentador (MVP)\nAñadir', 'PySpark\nAñadir']","['Ingeniería de datos', 'Python']","['Lean Startup\nAñadir', 'Microsoft Azure\nAñadir', 'Modelo-vista-presentador (MVP)\nAñadir', 'PySpark\nAñadir']",6.0,2.0,4.0
PRIMA Partners Global,Data Domain Expert,"Barcelona, Cataluña, España",hace 3 semanas,32 solicitudes,Híbrido,NA,NA,NA,2.0,2.0,2.0
Nommon,Aviation R&D Data Scientist,"Madrid, Comunidad de Madrid, España",hace 2 meses,Más de 100 solicitudes,Híbrido,"['Algoritmos', 'Aprendizaje automático', 'Ciencia de datos', 'Investigación y desarrollo (I+D)', 'Programación', 'Visualización de datos', 'Análisis estadístico\nAñadir', 'Aviación\nAñadir', 'Gestión de proyectos\nAñadir', 'Vehículos aéreos no tripulados\nAñadir']","['Algoritmos', 'Aprendizaje automático', 'Ciencia de datos', 'Investigación y desarrollo (I+D)', 'Programación', 'Visualización de datos']","['Análisis estadístico\nAñadir', 'Aviación\nAñadir', 'Gestión de proyectos\nAñadir', 'Vehículos aéreos no tripulados\nAñadir']",10.0,6.0,4.0
TD SYNNEX Spain,Cloud Data Scientist (m/f/d),"Barcelona, Cataluña, España",Publicado de nuevo hace 1 día,Más de 100 solicitudes,Híbrido,"['Aprendizaje automático', 'Ciencia de datos', 'Matemáticas', 'Programación', 'Reconocimiento de patrones', 'Analítica\nAñadir', 'Diseño de soluciones empresariales\nAñadir', 'Diseño de soluciones técnicas\nAñadir', 'E2E\nAñadir', 'Secuencia de comandos\nAñadir']","['Aprendizaje automático', 'Ciencia de datos', 'Matemáticas', 'Programación', 'Reconocimiento de patrones']","['Analítica\nAñadir', 'Diseño de soluciones empresariales\nAñadir', 'Diseño de soluciones técnicas\nAñadir', 'E2E\nAñadir', 'Secuencia de comandos\nAñadir']",10.0,5.0,5.0
Talent Job Seeker,Data Engineer,"Barcelona, Cataluña, España",Publicado de nuevo hace 3 días,32 solicitudes,Híbrido,"['Ciencia de datos', 'Ingeniería de datos', 'Airflow\nAñadir', 'Almacenamiento de datos\nAñadir', 'Apache Kafka\nAñadir', 'Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Reglas de empresa\nAñadir', 'Snowflake\nAñadir']","['Ciencia de datos', 'Ingeniería de datos']","['Airflow\nAñadir', 'Almacenamiento de datos\nAñadir', 'Apache Kafka\nAñadir', 'Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Reglas de empresa\nAñadir', 'Snowflake\nAñadir']",10.0,2.0,8.0
Vicomtech,Researchers in Computer Vision & Artificial Intelligence,"País Vasco / Euskadi, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completa,"['Aprendizaje profundo', 'C++', 'Investigación y desarrollo (I+D)', 'Keras', 'Programación', 'PyTorch', 'Python', 'TensorFlow', 'Visión por computador', 'Classifiers\nAñadir']","['Aprendizaje profundo', 'C++', 'Investigación y desarrollo (I+D)', 'Keras', 'Programación', 'PyTorch', 'Python', 'TensorFlow', 'Visión por computador']",['Classifiers\nAñadir'],10.0,9.0,1.0
Talent Job Seeker,Data Engineer,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,28 solicitudes,Jornada completa,"['Big data', 'Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Pruebas de software', 'Resolución de problemas', 'Apache Spark\nAñadir', 'Bases de datos\nAñadir', 'Necesidades empresariales\nAñadir', 'Programación reactiva\nAñadir']","['Big data', 'Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Pruebas de software', 'Resolución de problemas']","['Apache Spark\nAñadir', 'Bases de datos\nAñadir', 'Necesidades empresariales\nAñadir', 'Programación reactiva\nAñadir']",10.0,6.0,4.0
Ingeteam,INGENIERO/A DE DATOS,"Zamudio, País Vasco / Euskadi, España",Publicado de nuevo hace 1 mes,Más de 100 solicitudes,Híbrido,"['Análisis de Big Data', 'Big data', 'Docker', 'Kubernetes', 'AWS IoT\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Azure IoT\nAñadir', 'Microsoft Azure\nAñadir', 'Software de código abierto\nAñadir']","['Análisis de Big Data', 'Big data', 'Docker', 'Kubernetes']","['AWS IoT\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Azure IoT\nAñadir', 'Microsoft Azure\nAñadir', 'Software de código abierto\nAñadir']",9.0,4.0,5.0
Metyis,Data Science Associate,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completa,"['Analítica de datos', 'Análisis de datos', 'Ciencia de datos', 'Comunicación', 'NumPy', 'Pandas (Software)', 'Datasets\nAñadir', 'Dimensionality Reduction\nAñadir', 'Necesidades empresariales\nAñadir', 'Snowflake cloud\nAñadir']","['Analítica de datos', 'Análisis de datos', 'Ciencia de datos', 'Comunicación', 'NumPy', 'Pandas (Software)']","['Datasets\nAñadir', 'Dimensionality Reduction\nAñadir', 'Necesidades empresariales\nAñadir', 'Snowflake cloud\nAñadir']",10.0,6.0,4.0
Intelequia ,Data Engineer,"Canarias, España",hace 2 semanas,47 solicitudes,Híbrido,['Azure Service Fabric\nAñadir'],[],['Azure Service Fabric\nAñadir'],1.0,0.0,1.0
GRUPO NS,Data Engineer (Data/BI),España,hace 2 semanas,91 solicitudes,En remoto,"['Matillion ETL\nAñadir', 'SAP BusinessObjects\nAñadir', 'Snowflake cloud\nAñadir']",[],"['Matillion ETL\nAñadir', 'SAP BusinessObjects\nAñadir', 'Snowflake cloud\nAñadir']",3.0,0.0,3.0
Ayesa,Data scientist - Especialista en optimización matemática,Madrid y alrededores,Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Aprendizaje automático', 'Inglés', 'Inteligencia artificial', 'Python', 'Algoritmos de optimización\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'PySpark\nAñadir']","['Aprendizaje automático', 'Inglés', 'Inteligencia artificial', 'Python']","['Algoritmos de optimización\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'PySpark\nAñadir']",9.0,4.0,5.0
SDG Group España,Data Engineer,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Python', 'SQL', 'Almacenamiento de datos\nAñadir', 'Azure Data Factory\nAñadir', 'Base de datos SQL\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Herramientas ETL\nAñadir', 'Modelado de datos\nAñadir', 'Visualización\nAñadir']","['Python', 'SQL']","['Almacenamiento de datos\nAñadir', 'Azure Data Factory\nAñadir', 'Base de datos SQL\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Herramientas ETL\nAñadir', 'Modelado de datos\nAñadir', 'Visualización\nAñadir']",9.0,2.0,7.0
CGI,Data Engineer,"Barcelona, Cataluña, España",hace 2 días,30 solicitudes,Híbrido,"['Inglés', 'Microsoft SQL Server', 'Python', 'Airflow\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Scala\nAñadir', 'Snowflake\nAñadir']","['Inglés', 'Microsoft SQL Server', 'Python']","['Airflow\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Scala\nAñadir', 'Snowflake\nAñadir']",8.0,3.0,5.0
ÁlamoConsulting,Ingenieros/as de datos,"Ermua, País Vasco / Euskadi, España",hace 1 semana,60 solicitudes,Híbrido,"['Ciencia de datos', 'Ciencias de la computación', 'Ingeniería de datos', 'Microsoft Power BI', 'Minería de datos', 'Actitud positiva\nAñadir', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Hive\nAñadir']","['Ciencia de datos', 'Ciencias de la computación', 'Ingeniería de datos', 'Microsoft Power BI', 'Minería de datos']","['Actitud positiva\nAñadir', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Hive\nAñadir']",10.0,5.0,5.0
CHEP,Data Specialist,"Madrid, Comunidad de Madrid, España",hace 1 semana,16 solicitudes,Híbrido,"['SQL', 'Amazon Web Services (AWS)\nAñadir', 'Computación en la nube\nAñadir', 'Gestión de proyectos\nAñadir']",['SQL'],"['Amazon Web Services (AWS)\nAñadir', 'Computación en la nube\nAñadir', 'Gestión de proyectos\nAñadir']",4.0,1.0,3.0
Clarivate,Business Analyst (Life Science & Healthcare),"Barcelona, Cataluña, España",Publicado de nuevo hace 4 semanas,Más de 100 solicitudes,Híbrido,"['Análisis de datos', 'Comunicación', 'Resolución de incidencias', 'Análisis de negocio\nAñadir', 'Asignación de datos\nAñadir', 'Confluence\nAñadir', 'JIRA\nAñadir', 'Migración de datos\nAñadir', 'Obtención de requisitos\nAñadir', 'Relaciones con grupos de interés\nAñadir']","['Análisis de datos', 'Comunicación', 'Resolución de incidencias']","['Análisis de negocio\nAñadir', 'Asignación de datos\nAñadir', 'Confluence\nAñadir', 'JIRA\nAñadir', 'Migración de datos\nAñadir', 'Obtención de requisitos\nAñadir', 'Relaciones con grupos de interés\nAñadir']",10.0,3.0,7.0
seQura,Credit Risk Modeler/Data Scientist,"Barcelona, Cataluña, España",hace 1 semana,41 solicitudes,Híbrido,"['Analítica de datos', 'Capacidad de análisis', 'Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Habilidades sociales', 'Desarrollo de modelos\nAñadir', 'Gobierno de datos\nAñadir', 'Modelos predictivos\nAñadir', 'Pérdidas por impago\nAñadir']","['Analítica de datos', 'Capacidad de análisis', 'Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Habilidades sociales']","['Desarrollo de modelos\nAñadir', 'Gobierno de datos\nAñadir', 'Modelos predictivos\nAñadir', 'Pérdidas por impago\nAñadir']",10.0,6.0,4.0
LHH,Data Engineer,España,hace 1 semana,Más de 100 solicitudes,En remoto,"['Microsoft Power BI', 'Python', 'SQL', 'Apache NiFi\nAñadir', 'Apache Spark\nAñadir', 'Herramientas ETL\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']","['Microsoft Power BI', 'Python', 'SQL']","['Apache NiFi\nAñadir', 'Apache Spark\nAñadir', 'Herramientas ETL\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']",8.0,3.0,5.0
TD SYNNEX Spain,Material Master Data trainee,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Ciencias de los materiales', 'Gestión de datos', 'Inglés', 'Aprovisionamiento\nAñadir', 'Atención al detalle\nAñadir', 'Datos maestros\nAñadir', 'Gestión de materiales\nAñadir', 'Investigación\nAñadir', 'Materiales\nAñadir', 'Negociación\nAñadir']","['Ciencias de los materiales', 'Gestión de datos', 'Inglés']","['Aprovisionamiento\nAñadir', 'Atención al detalle\nAñadir', 'Datos maestros\nAñadir', 'Gestión de materiales\nAñadir', 'Investigación\nAñadir', 'Materiales\nAñadir', 'Negociación\nAñadir']",10.0,3.0,7.0
Twenix,Data Engineer,España,hace 1 semana,90 solicitudes,En remoto,"['Python', 'SQL', 'Google BigQuery\nAñadir', 'Google Cloud\nAñadir']","['Python', 'SQL']","['Google BigQuery\nAñadir', 'Google Cloud\nAñadir']",4.0,2.0,2.0
Reale Seguros,Artificial Intelligence Engineer,"Madrid, Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ciencias de la computación', 'Desarrollo de software', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Programación', 'Redes neuronales convolucionales (CNN)', 'Visión por computador']","['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ciencias de la computación', 'Desarrollo de software', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Programación', 'Redes neuronales convolucionales (CNN)', 'Visión por computador']",[],10.0,10.0,0.0
Planet,Card Scheme Analyst,España,hace 3 semanas,80 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Habilidades sociales', 'Microsoft', 'Boletines\nAñadir', 'Comunicación escrita\nAñadir', 'Gestión de partes interesadas\nAñadir', 'Necesidades empresariales\nAñadir', 'Participación de las partes interesadas\nAñadir', 'Requisitos de información\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Habilidades sociales', 'Microsoft']","['Boletines\nAñadir', 'Comunicación escrita\nAñadir', 'Gestión de partes interesadas\nAñadir', 'Necesidades empresariales\nAñadir', 'Participación de las partes interesadas\nAñadir', 'Requisitos de información\nAñadir']",10.0,4.0,6.0
PRIMA Partners Global,SAP Data Analyst,"Barcelona, Cataluña, España",hace 2 semanas,79 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos', 'Visualización de datos', 'Bases de datos\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Estrategia de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Integración de datos\nAñadir', 'Optimising\nAñadir', 'Usabilidad\nAñadir']","['Analítica de datos', 'Análisis de datos', 'Visualización de datos']","['Bases de datos\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Estrategia de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Integración de datos\nAñadir', 'Optimising\nAñadir', 'Usabilidad\nAñadir']",10.0,3.0,7.0
MoonPay,Machine Learning Engineer,"Barcelona, Cataluña, España",hace 3 días,40 solicitudes,Jornada completa,"['Aprendizaje automático', 'Apache Kafka\nAñadir', 'CircleCI\nAñadir', 'Diseño de sistemas\nAñadir', 'Fiabilidad\nAñadir', 'Google Cloud\nAñadir', 'Kubeflow\nAñadir', 'MLOps\nAñadir', 'Requerimientos no funcionales\nAñadir', 'Sistemas de diseño\nAñadir']",['Aprendizaje automático'],"['Apache Kafka\nAñadir', 'CircleCI\nAñadir', 'Diseño de sistemas\nAñadir', 'Fiabilidad\nAñadir', 'Google Cloud\nAñadir', 'Kubeflow\nAñadir', 'MLOps\nAñadir', 'Requerimientos no funcionales\nAñadir', 'Sistemas de diseño\nAñadir']",10.0,1.0,9.0
NeuralTrust,ML Engineer (PhD & French required),"Barcelona, Cataluña, España",hace 1 semana,49 solicitudes,Híbrido,"['Aprendizaje automático', 'Desarrollo de software', 'Francés', 'Inglés', 'Inteligencia artificial', 'Investigación y desarrollo (I+D)', 'Python', 'Ingenieros de software\nAñadir', 'Redacción de textos académicos\nAñadir', 'Redacción técnica\nAñadir']","['Aprendizaje automático', 'Desarrollo de software', 'Francés', 'Inglés', 'Inteligencia artificial', 'Investigación y desarrollo (I+D)', 'Python']","['Ingenieros de software\nAñadir', 'Redacción de textos académicos\nAñadir', 'Redacción técnica\nAñadir']",10.0,7.0,3.0
TUI,Digital Product Manager,"Barcelona, Cataluña, España",hace 5 minutos,0 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Análisis de mercados\nAñadir', 'Gestión de productos\nAñadir', 'Lanzamiento de productos\nAñadir', 'Liderazgo de equipos multidisciplinarios\nAñadir', 'Métricas de rendimiento\nAñadir', 'Planes de desarrollo de productos\nAñadir', 'Reflexión estratégica\nAñadir', 'Visión de producto\nAñadir']","['Capacidad de análisis', 'Comunicación']","['Análisis de mercados\nAñadir', 'Gestión de productos\nAñadir', 'Lanzamiento de productos\nAñadir', 'Liderazgo de equipos multidisciplinarios\nAñadir', 'Métricas de rendimiento\nAñadir', 'Planes de desarrollo de productos\nAñadir', 'Reflexión estratégica\nAñadir', 'Visión de producto\nAñadir']",10.0,2.0,8.0
Huxley,Data Quality Analyst.,"Barcelona, Cataluña, España",hace 4 semanas,27 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos', 'Bases de datos\nAñadir', 'Calidad de datos\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir', 'Productos SAP\nAñadir', 'SAP ERP\nAñadir', 'SAP MDG\nAñadir']","['Analítica de datos', 'Análisis de datos']","['Bases de datos\nAñadir', 'Calidad de datos\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir', 'Productos SAP\nAñadir', 'SAP ERP\nAñadir', 'SAP MDG\nAñadir']",10.0,2.0,8.0
SITA,Junior Flight Data Engineer,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos', 'Ciencia de datos', 'Comunicación', 'Ingeniería de datos', 'Aviation Operations\nAñadir', 'Calidad de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FOQA\nAñadir', 'Optimización\nAñadir']","['Analítica de datos', 'Análisis de datos', 'Ciencia de datos', 'Comunicación', 'Ingeniería de datos']","['Aviation Operations\nAñadir', 'Calidad de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FOQA\nAñadir', 'Optimización\nAñadir']",10.0,5.0,5.0
i2CAT,Data Engineer Consultant,"Barcelona, Cataluña, España",hace 1 semana,17 solicitudes,Híbrido,"['Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Ingeniería informática', 'Inglés', 'Liderazgo de equipos', 'Catalán\nAñadir', 'Comunicación escrita\nAñadir', 'Investigación\nAñadir', 'Sistemas de datos\nAñadir']","['Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Ingeniería informática', 'Inglés', 'Liderazgo de equipos']","['Catalán\nAñadir', 'Comunicación escrita\nAñadir', 'Investigación\nAñadir', 'Sistemas de datos\nAñadir']",10.0,6.0,4.0
